Symbol,Issuer,Description,Struct,Inception,Group
AFK,VanEck,VanEckAfricaIndex,ETF,2008-07-10,Region
ASEA,MiraeAsset,GlobalXFTSESoutheastAsia,ETF,2011-02-11,Region
BOTZ,GlobalX,Robotics&ArtificialIntel,ETF,2016-09-12,Speculate
DBC,Invesco,DBIQCommodityIndex,Pool,2006-02-03,Inflation
ECNS,BlackRock,iSharesMSCIChinaSmall-Cap,ETF,2010-09-28,Country
EEM,iShares,MSCIEmergeMktIndex,ETF,2003-04-11,Index
EURL,Rafferty,DirexionDailyFTSEEuropeBull3x,ETF,2014-01-22,Leveraged
EZU,BlackRock,iSharesMSCIEurozone,ETF,2000-07-25,Region
FXI,iShares,FTSEChina25Index,ETF,2004-10-05,Index
GDXU,BMOFinancial,MicroSectorsGoldMiners3X,ETN,2020-12-02,Leveraged
HYG,iShares,HighYieldCorporate,ETF,2007-04-11,Inflation
IBIT,BlackRock,iSharesBitcoinTrust,ETF,2024-01-05,Speculate
ICLN,iShares,GlobalCleanEnergy,ETF,2008-06-24,Speculate
ILF,BlackRock,iSharesLatinAmerica40,ETF,2001-10-25,Region
IWM,iShares,Russell2000Index,ETF,2000-05-22,Index
IYR,iShares,U.S.RealEstate,ETF,2000-06-15,Sector
IYZ,iShares,Telecommunications,ETF,2000-05-22,Sector
JETS,U.S.Global,AirTravelIndustry,ETF,2015-04-28,Speculate
LIT,GlobalX,LithiumIndustry,ETF,2010-07-22,Speculate
LQD,iShares,InvestGradeCorporate,ETF,2002-07-26,Inflation
SGOL,AbrdnPlc,abrdnPhysicalGoldShares,ETF,2009-09-09,PreciousMetals
SHLD,MiraeAsset,GlobalXDefenseTech,ETF,2023-09-11,Sector
SIVR,AbrdnPlc,abrdnPhysicalSilverShares,ETF,2009-07-20,PreciousMetals
SPXL,Rafferty,Direxion Daily S&P 500 Bull 3X,ETF,2008-11-05,Leveraged
SPXS,Rafferty,Direxion Daily S&P 500 Bear 3X,ETF,2008-11-05,Leveraged
SPY,StateStreet,S&P500Index,ETF,1993-01-22,Index
TAN,Invesco,SolarPower,ETF,2008-04-15,Speculate
TIP,iShares,InflationProtectTreasury,ETF,2003-12-04,Inflation
TNA,Rafferty,DirexionDailySmallCapBull3X,ETF,2008-11-05,Leveraged
VEGI,BlackRock,iSharesMSCIAgricultureProducers,ETF,2012-01-31,Inflation
XAR,StateStreet,Aerospace&Defence,ETF,2011-09-28,Speculate
XLB,StateStreet,MaterialsSelectSectorSPDR,ETF,1998-12-16,Sector
XLE,StateStreet,EnergySelect,ETF,1998-12-16,Sector
XLF,StateStreet,FinancialSelect,ETF,1998-12-16,Sector
XLI,StateStreet,IndustrialSelect,ETF,1998-12-16,Sector
XLK,StateStreet,TechnologySelect,ETF,1998-12-16,Sector
XLP,StateStreet,ConsStaplesSelect,ETF,1998-12-16,Sector
XLU,StateStreet,UtilitiesSelectSectorSPDR,ETF,1998-12-16,Sector
XLV,StateStreet,HealthCareSelect,ETF,1998-12-16,Sector
XLY,StateStreet,ConsDiscresSelect,ETF,1998-12-16,Sector
YANG,Rafferty,DirexionDailyFTSEChinaBear3X,ETF,
YINN,Rafferty,DirexionDailyFTSEChinaBull3X,ETF,2009-12-03,Leveraged
